fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
1f539a7c-db7a-4e42-a13d-5920c3bc32e9,6,134,152.0,152.0,441,8,public,    public List<Long> getOrderedLogFileIds() {,matched,126.8,20,182.0,40,154.4,30.0
93466a28-51b8-4cde-97e4-9c6758fe0694,6,133,515.0,515.0,441,13,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
1e25f10b-dca6-4844-b94c-9fea0a2bb743,6,2,258.0,258.0,441,17,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
eb61598a-dd75-4c65-9687-0e6b3f9c6493,6,131,495.0,495.0,441,20,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
1221322a-e1db-4439-9ba5-85b91b94511d,6,3,249.0,249.0,441,27,gt;,    public List<Long> getOrderedLogFileIds() {,matched,274.0,20,283.2,40,278.6,30.0
2e54027e-0d88-4e19-b92d-5c1b2b809bf0,6,4,1076.0,1076.0,441,33,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
eef5c4bc-a40d-4d48-a196-682a40527e7d,6,57,429.0,429.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
8239fedf-249a-4e66-8b02-99f973d1ce00,6,132,387.0,387.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
bdea3183-647b-49b1-b8a4-f3ff2d7aae36,6,54,279.0,279.0,442,15,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
a67d276e-cedd-4e7f-8d40-97671f3e6ba1,6,6,474.0,474.0,442,16,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
056aa754-7008-4cb9-bf04-d49e7957fda9,6,59,252.0,252.0,442,22,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
2395477b-63b0-4b7c-9488-17e7db020629,6,12,686.0,686.0,442,29,new,        File fileLogDir = new File(logDir);,matched,329.2,40,356.79999999999995,60,343.0,50.0
c37cfa80-b5cf-4290-9463-7ae0b5ad3ee6,6,13,678.0,678.0,442,29,new,        File fileLogDir = new File(logDir);,matched,329.2,40,356.79999999999995,60,343.0,50.0
faa3f029-e38a-49f3-9591-6c771535f066,6,14,1181.0,1181.0,442,33,File,        File fileLogDir = new File(logDir);,matched,163.6,40,200.39999999999998,60,182.0,50.0
ac574897-0094-428d-bef7-82dd30fa73b0,6,9,433.0,433.0,442,36,logDir,        File fileLogDir = new File(logDir);,matched,246.39999999999998,40,301.6,60,274.0,50.0
acdc4bd4-d23e-4923-a9d9-1c9b9ef54382,6,7,228.0,228.0,443,11,String[],        String[] logFileNames = null;,matched,163.6,60,237.2,80,200.39999999999998,70.0
e1ac903f-93b8-4e9b-9e69-fcce09a046f2,6,8,157.0,157.0,443,17,WHITESPACE,        String[] logFileNames = null;,approx_whitespace,421.2,60,430.4,80,425.79999999999995,70.0
d4776166-81eb-4a60-9142-843d272d1cbd,6,10,117.0,117.0,443,31,=,        String[] logFileNames = null;,matched,366.0,60,375.2,80,370.6,70.0
295ea601-ad00-4c91-a4b0-a7847433b26f,6,5,157.0,157.0,443,36,null;,        String[] logFileNames = null;,matched,384.4,60,430.4,80,407.4,70.0
453ecbfc-9cef-4737-8500-02086a58b2ca,6,53,1447.0,1447.0,443,37,null;,        String[] logFileNames = null;,matched,384.4,60,430.4,80,407.4,70.0
d0dc32cf-61f5-4c6d-9b19-a63fb9561bac,6,55,490.0,490.0,443,37,null;,        String[] logFileNames = null;,matched,384.4,60,430.4,80,407.4,70.0
0ef8cd40-7645-49c5-a88b-d1bdd34570e9,6,11,202.0,202.0,444,19,lt;Long,        List<Long> logFileIds = null;,matched,200.39999999999998,80,246.39999999999998,100,223.39999999999998,90.0
