fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
03200e36-0887-4d57-84a3-e44e125b607a,27,10,169.0,169.0,441,20,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
41cda9e8-a30b-444c-b416-8612ffcee174,27,69,513.0,513.0,441,20,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
4b28015e-32ce-44d5-8519-b7890a2793ad,27,49,1776.0,1776.0,441,22,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
5aaec247-c74c-4998-9465-c851549731fe,27,34,576.0,576.0,441,27,gt;,    public List<Long> getOrderedLogFileIds() {,matched,274.0,20,283.2,40,278.6,30.0
ac83ad13-d8a7-4d90-b2f3-eda4ace70b21,27,70,223.0,223.0,441,27,gt;,    public List<Long> getOrderedLogFileIds() {,matched,274.0,20,283.2,40,278.6,30.0
d9838507-30ed-4c8f-b40a-4940566a39c9,27,51,158.0,158.0,441,35,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
d842a0d1-cf0d-4d97-aa64-3d108a68d784,27,4,2817.0,2817.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
eb96ee32-2c43-4863-87bd-5e158433c419,27,35,261.0,261.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
e2b4a48b-a367-43f1-9285-598ec4eabb80,27,50,138.0,138.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
6800b491-4e5f-4528-b457-fa149cce56b5,27,71,392.0,392.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
47ee484d-8aaf-4f89-8c48-d6c099c1b196,27,5,1468.0,1468.0,441,38,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
cfc76fcc-d6a0-4036-9861-3e55d190f444,27,193,1546.0,1546.0,441,40,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
13fb5332-22bc-4ba4-b194-7a1677e6c768,27,1,192.0,192.0,441,41,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
c6d117eb-fde7-4930-8ce2-5dc1beff4c06,27,9,364.0,364.0,442,14,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
41107b69-e38f-49b9-9395-75a657faa629,27,12,485.0,485.0,442,15,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
ed8ef5a0-8569-440a-a778-fde52e40e3e9,27,198,746.0,746.0,442,16,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
53ada2ec-fc38-4ef1-aee9-8fa3573565aa,27,33,294.0,294.0,442,17,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
d032b3ea-c64b-408a-84ca-f12a76dc0faa,27,15,710.0,710.0,442,19,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
571c3df6-af3b-4a4c-9679-07ad1f08b0af,27,18,691.0,691.0,442,19,fileLogDir,        File fileLogDir = new File(logDir);,matched,209.6,40,301.6,60,255.60000000000002,50.0
69eb7237-06a2-4940-bb64-cb2ed30c28e8,27,294,518.0,518.0,442,24,WHITESPACE,        File fileLogDir = new File(logDir);,approx_whitespace,448.79999999999995,40,458.0,60,453.4,50.0
a62b1686-8d69-4fd2-8e1f-aaf7ecaa4791,27,285,359.0,359.0,442,25,=,        File fileLogDir = new File(logDir);,matched,310.79999999999995,40,320.0,60,315.4,50.0
bfcc7e51-5c6e-481f-947b-40bdd124696d,27,7,84.0,84.0,442,26,WHITESPACE,        File fileLogDir = new File(logDir);,approx_whitespace,476.4,40,485.59999999999997,60,481.0,50.0
d5695fb7-0976-464c-8834-7adcede9693e,27,296,745.0,745.0,442,28,new,        File fileLogDir = new File(logDir);,matched,329.2,40,356.79999999999995,60,343.0,50.0
a3e887e7-495f-4361-a85b-3bbd11097922,27,8,550.0,550.0,442,31,File,        File fileLogDir = new File(logDir);,matched,163.6,40,200.39999999999998,60,182.0,50.0
1c8bea23-2169-4cdd-8b51-ac8533d5eeea,27,293,102.0,102.0,442,31,File,        File fileLogDir = new File(logDir);,matched,163.6,40,200.39999999999998,60,182.0,50.0
7e44ca0a-c301-4550-bbf2-3d1180203e6e,27,46,1049.0,1049.0,442,34,File,        File fileLogDir = new File(logDir);,matched,209.6,40,246.39999999999998,60,228.0,50.0
ca262e54-ed95-4a6a-8557-a912e3516028,27,13,229.0,229.0,442,36,logDir,        File fileLogDir = new File(logDir);,matched,246.39999999999998,40,301.6,60,274.0,50.0
07007076-44f3-49fa-9636-bad02629631f,27,48,696.0,696.0,442,36,logDir,        File fileLogDir = new File(logDir);,matched,246.39999999999998,40,301.6,60,274.0,50.0
7de3ec8c-3d56-4eea-8604-78ab307ecb86,27,11,1130.0,1130.0,442,37,logDir,        File fileLogDir = new File(logDir);,matched,246.39999999999998,40,301.6,60,274.0,50.0
c3457084-923e-41d1-9af6-a2273025b40f,27,14,176.0,176.0,442,38,logDir,        File fileLogDir = new File(logDir);,matched,412.0,40,467.2,60,439.6,50.0
70dc1842-26bb-4310-aca4-f0b614b870d6,27,47,930.0,930.0,442,38,logDir,        File fileLogDir = new File(logDir);,matched,412.0,40,467.2,60,439.6,50.0
0b89ff26-74f6-41c7-a707-810970322c48,27,19,260.0,260.0,443,16,String[],        String[] logFileNames = null;,matched,163.6,60,237.2,80,200.39999999999998,70.0
a479c7fb-3557-48e7-9979-042e980f4b4e,27,6,195.0,195.0,443,20,logFileNames,        String[] logFileNames = null;,matched,246.39999999999998,60,356.79999999999995,80,301.59999999999997,70.0
54a9962e-cbc9-40d9-b54e-fd09c1dba18e,27,290,1232.0,1232.0,443,20,logFileNames,        String[] logFileNames = null;,matched,246.39999999999998,60,356.79999999999995,80,301.59999999999997,70.0
c1c1ac56-c97a-4579-adac-09a03006a6a0,27,3,101.0,101.0,443,21,logFileNames,        String[] logFileNames = null;,matched,246.39999999999998,60,356.79999999999995,80,301.59999999999997,70.0
