fixation_id	fixation_run_id	fixation_start_event_time	fixation_target	source_file_line	system_time	tracker_time	duration	date_hour	chunk	chunk_num	event	event_numeric	experiment
43fa7efe-726a-4136-a808-98d9d3c3b5b3	1702677842812	133422869035847173	2	77	1697813303583	1697814541201906	107	2023-10-20T11:48:23.583000000	chunk2	2	top-down-inside	1	01
b3e39d93-8987-41b4-8d3c-cd1323f80451	1702677842812	133422869037606325	2	86	1697813303759	1697814541378606	157	2023-10-20T11:48:23.759000000	chunk5	5	top-down-inside	1	01
b2c5b73a-eea8-43bb-a778-ce9686aa6340	1702677842812	133422869039674067	2	83	1697813303966	1697814541585207	374	2023-10-20T11:48:23.966000000	chunk5	5	bottom-up-inside	2	01
e43826ea-2702-47c0-b885-2989535f097b	1702677842812	133422869044005021	2	77	1697813304400	1697814542018458	97	2023-10-20T11:48:24.400000000	chunk2	2	top-down-inside	1	01
cdb9df8b-cd6b-43e4-8d45-83b90d168845	1702677842812	133422869045471106	2	81	1697813304546	1697814542165150	370	2023-10-20T11:48:24.546000000	chunk4	4	top-down-inside	1	01
ce1f9c28-c040-4bd6-8601-55ace6dfe6e7	1702677842812	133422869049606083	2	83	1697813304959	1697814542578375	160	2023-10-20T11:48:24.959000000	chunk5	5	top-down-inside	1	01
bcda0281-2d47-4c9b-bb51-37161959c9ca	1702677842812	133422869051636985	2	82	1697813305162	1697814542781694	170	2023-10-20T11:48:25.162000000	chunk4	4	top-down-inside	1	01
ee67759c-0e1b-4785-9478-f96b697848ef	1702677842812	133422869054002865	2	84	1697813305399	1697814543018315	227	2023-10-20T11:48:25.399000000	chunk5	5	top-down-inside	1	01
ecbe0ab0-66a5-451f-ad45-103f5f59f176	1702677842812	133422869096446553	2	84	1697813309644	1697814547261093	204	2023-10-20T11:48:29.644000000	chunk5	5	bottom-up-inside	2	01
49ae4a18-6bc2-4d1b-ab48-8f18078edc2c	1702677842812	133422869098898126	2	87	1697813309888	1697814547507785	188	2023-10-20T11:48:29.888000000	chunk5	5	bottom-up-inside	2	01
7b7c82a3-771d-4b4c-b76e-078269a7ee34	1702677842812	133422869101296453	2	84	1697813310128	1697814547747754	167	2023-10-20T11:48:30.128000000	chunk5	5	bottom-up-inside	2	01
57a7b8f2-a9de-47f3-b1c4-657f23362333	1702677842812	133422869104865699	2	82	1697813310485	1697814548101051	238	2023-10-20T11:48:30.485000000	chunk4	4	top-down-inside	1	01
e2201f51-f9bd-4c1e-920f-f73e10c31d7c	1702677842812	133422869107695359	2	83	1697813310769	1697814548387596	1064	2023-10-20T11:48:30.769000000	chunk5	5	top-down-inside	1	01
9e265591-6473-46ad-a2b5-d27ef6d15466	1702677842812	133422869118809953	2	83	1697813311880	1697814549494163	144	2023-10-20T11:48:31.880000000	chunk5	5	bottom-up-inside	2	01
31e1a33b-8fca-41b8-8110-276de14d44a3	1702677842812	133422869120653726	2	81	1697813312064	1697814549684080	200	2023-10-20T11:48:32.064000000	chunk4	4	top-down-inside	1	01
a0237aaf-c1b8-4021-a7a2-25dbad02b002	1702677842812	133422869154727532	2	86	1697813315472	1697814553090293	86	2023-10-20T11:48:35.472000000	chunk5	5	top-down-inside	1	01
8d516c00-179f-40d3-812e-e777f89a0ea2	1702677842812	133422869156956723	2	89	1697813315695	1697814553313575	224	2023-10-20T11:48:35.695000000	chunk5	5	bottom-up-inside	2	01
6a89f8de-fafe-450b-a106-775c3f564042	1702677842812	133422869170908204	2	80	1697813317090	1697814554693480	124	2023-10-20T11:48:37.090000000	chunk3	3	top-down-inside	1	01
70365c0c-4449-4246-b077-d00040a48485	1702677842812	133422869172723005	2	86	1697813317271	1697814554890019	150	2023-10-20T11:48:37.271000000	chunk5	5	top-down-inside	1	01
ba0b52e9-ea4e-45e2-8920-d2062c27237e	1702677842812	133422869179157612	2	78	1697813317915	1697814555533321	182	2023-10-20T11:48:37.915000000	chunk3	3	top-down-inside	1	01
65e7fd36-514d-4743-a7b0-35be46631436	1702677842812	133422869181587978	2	77	1697813318157	1697814555776655	388	2023-10-20T11:48:38.157000000	chunk2	2	top-down-inside	1	01
e66d52e8-65e0-470b-a06a-ee8f0eccac3b	1702677842812	133422869185769196	2	76	1697813318576	1697814556189856	185	2023-10-20T11:48:38.576000000	chunk2	2	bottom-up-inside	2	01
edc5fc2e-aba4-4d9b-b5cb-4ab824b07b63	1702677842812	133422869189436409	2	84	1697813318943	1697814556556469	88	2023-10-20T11:48:38.943000000	chunk5	5	top-down-inside	1	01
ee882fd6-c31f-4d36-a1e4-2bee34c9057b	1702677842812	133422869196620677	2	83	1697813319661	1697814557279749	260	2023-10-20T11:48:39.661000000	chunk5	5	bottom-up-inside	2	01
fb404f0b-9ec4-43a2-bcf7-0c0a04d346e9	1702677842812	133422869206006064	2	83	1697813320600	1697814558212984	128	2023-10-20T11:48:40.600000000	chunk5	5	bottom-up-inside	2	01
3e6d5b6a-b92c-416f-bc12-fd568e7b4a64	1702677842812	133422869207652121	2	81	1697813320764	1697814558382965	134	2023-10-20T11:48:40.764000000	chunk4	4	top-down-inside	1	01
7d98cbe3-ac85-4c4c-831d-beecf76c0f9c	1702677842812	133422869260617763	2	85	1697813326060	1697814563678906	149	2023-10-20T11:48:46.060000000	chunk5	5	top-down-inside	1	01
b9f49aaa-a2e6-4f55-9495-3c72f02be8d6	1702677842812	133422869262587865	2	84	1697813326257	1697814563875540	162	2023-10-20T11:48:46.257000000	chunk5	5	bottom-up-inside	2	01
80476ac4-4297-454f-b48d-9b2a92dc52a4	1702677842812	133422869264584022	2	87	1697813326457	1697814564075440	136	2023-10-20T11:48:46.457000000	chunk5	5	bottom-up-inside	2	01
4da1694a-eff5-405c-a62b-6a68135ba40c	1702677842812	133422869267187868	2	81	1697813326718	1697814564335432	80	2023-10-20T11:48:46.718000000	chunk4	4	top-down-inside	1	01
421a92be-f147-4bce-b6f9-424be4ff9e40	1702677842812	133422869270279920	2	48	1697813327027	1697814564645397	6130	2023-10-20T11:48:47.027000000	before	0	top-down-outside	3	01
f73913a1-2b5f-4c59-b3e2-861109ce04b3	1702677842812	133422869335112174	2	35	1697813333510	1697814571127857	114	2023-10-20T11:48:53.510000000	before	0	bottom-up-outside	4	01
a8fbf715-f82c-43f3-8ee0-3a43e68130d7	1702677842812	133422869346034934	2	17	1697813334602	1697814572221009	227	2023-10-20T11:48:54.602000000	before	0	bottom-up-outside	4	01
d1265c8f-0bc4-4809-ab64-152c773e7395	1702677842812	133422869397035806	2	82	1697813339702	1697814577320304	1947	2023-10-20T11:48:59.702000000	chunk4	4	top-down-inside	1	01
c927a4d0-7d57-4fa0-837f-bdd920eb9e9b	1702677842812	133422869437270753	2	81	1697813343726	1697814581343160	246	2023-10-20T11:49:03.726000000	chunk4	4	bottom-up-inside	2	01
486d6096-da44-4731-9b16-7ea5a832b3c3	1702677842812	133422869440069827	2	81	1697813344006	1697814581623106	101	2023-10-20T11:49:04.006000000	chunk4	4	bottom-up-inside	2	01
