fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
0ef99877-c4f7-44d7-8263-04b38bfebf38,1,12,471.0,471.0,30,36,getWindowsProgramName,    protected String getWindowsProgramName() {,matched,283.2,200,476.4,220,379.79999999999995,210.0
c8d71453-ce6c-427a-ab8c-6a91ca659922,1,13,140.0,140.0,30,40,getWindowsProgramName,    protected String getWindowsProgramName() {,matched,283.2,200,476.4,220,379.79999999999995,210.0
e8536c31-57b0-46ea-9d75-df799758ff19,1,8,156.0,156.0,30,41,getWindowsProgramName,    protected String getWindowsProgramName() {,matched,283.2,200,476.4,220,379.79999999999995,210.0
bff2e4b5-866e-4426-a31b-0e261b5a856f,1,1,129.0,129.0,30,44,(),    protected String getWindowsProgramName() {,matched,476.4,200,494.79999999999995,220,485.59999999999997,210.0
dc0048af-0081-41d0-af4d-8d591e5ae62c,1,16,247.0,247.0,34,33,getUnixProgramName,    protected String getUnixProgramName() {,matched,283.2,280,448.79999999999995,300,366.0,290.0
e6088169-9983-4778-adba-65008582eeb3,1,6,82.0,82.0,34,36,getUnixProgramName,    protected String getUnixProgramName() {,matched,283.2,280,448.79999999999995,300,366.0,290.0
be7eab3e-d725-4876-9d51-0392b698b6bd,1,10,202.0,202.0,38,17,String,    public String getDescription() {,matched,191.2,360,246.39999999999998,380,218.79999999999998,370.0
f84eeb69-5eba-45f6-96f9-f9fc931ad3de,1,2,162.0,162.0,38,18,WHITESPACE,    public String getDescription() {,approx_whitespace,412.0,360,421.2,380,416.6,370.0
ccf742aa-a1b9-45f9-bbf6-2a779053741a,1,19,495.0,495.0,38,23,getDescription,    public String getDescription() {,matched,255.6,360,384.4,380,320.0,370.0
2ac4a801-bcad-4375-b0fb-d895e9037700,1,4,1436.0,1436.0,38,29,getDescription,    public String getDescription() {,matched,255.6,360,384.4,380,320.0,370.0
11f491df-f28f-421b-a497-f62aae8b92f9,1,17,113.0,113.0,38,29,getDescription,    public String getDescription() {,matched,255.6,360,384.4,380,320.0,370.0
827736b7-fb20-4d82-863f-12e1f67f0385,1,3,434.0,434.0,38,32,getDescription,    public String getDescription() {,matched,255.6,360,384.4,380,320.0,370.0
b2924d56-7ea9-46df-bdb7-6a6c4009d59a,1,9,141.0,141.0,38,33,(),    public String getDescription() {,matched,384.4,360,402.79999999999995,380,393.59999999999997,370.0
79789fe1-a723-4f46-a0bc-2cff37f1d743,1,11,444.0,444.0,38,36,{,    public String getDescription() {,matched,412.0,360,421.2,380,416.6,370.0
e01c7776-e3fb-4a6e-9d6f-01b542471d0c,1,15,314.0,314.0,45,34,getDefaultArguments,    public String getDefaultArguments() {,matched,255.6,500,430.4,520,343.0,510.0
756d60a2-e81e-4220-8f6f-2f6df3f71087,1,18,470.0,470.0,53,36,OUTPUT_FORMAT_PDF;,        return TexlipseProperties.OUTPUT_FORMAT_PDF;,matched,402.79999999999995,660,568.4,680,485.59999999999997,670.0
